Job_Family_r,TotalPay_x,TotalPay_y,inflation
Administrative & Mgmt (Unrep),192103.626667,230986.384,20.2405118571
Administrative Secretarial,66306.6763636,68554.178,3.38955556155
Administrative-DPW/PUC,109965.973721,118400.258537,7.6699041806
Administrative-Labor & Trades,125672.370625,132268.000833,5.24827388513
Agriculture & Horticulture,55473.2009402,57965.1720714,4.49220720821
Airport Operation,87613.0838356,76901.9578963,-12.2254867315
Appraisal & Taxation,61385.6375723,72637.0092571,18.3289970258
"Budget, Admn & Stats Analysis",63146.9304325,75288.8647588,19.2280673711
"Clerical, Secretarial & Steno",42962.9948556,46449.6382129,8.11545696266
Community Development,67162.5262832,72269.7316968,7.60424852399
Computer Operatns & Repro Svcs,48677.4375,42953.2455844,-11.7594356021
Construction Inspection,96244.4173973,97462.9059551,1.26603556938
Construction Project Mgmt,124899.3495,124633.523279,-0.212832350509
Correction & Detention,85827.1383377,101587.521265,18.362936517
Dietary & Food,40301.2797328,40262.7916327,-0.0955009380012
Energy & Environment,80208.9956667,84439.2944444,5.27409518423
Fire Services,140205.254235,150044.19397,7.01752568973
Health & Sanitation Inspection,94868.7692793,94927.6196774,0.0620334790755
Hospital Administration,54082.68,59557.8076316,10.1236248492
Housekeeping & Laundry,41127.9197036,48393.7537717,17.6664273818
Human Services,64491.4177771,68707.9571172,6.53814024467
Information Systems,94643.5328223,101603.995094,7.35439819761
Journeyman Trade,76351.1602287,89530.5967542,17.2616060922
"Lab, Pharmacy & Med Techs",73154.2428596,75861.1502032,3.700273884
Legal & Court,103461.747024,110369.65849,6.67677829176
Library,38991.7020102,48939.161585,25.5117347077
Management,116200.364475,109167.653055,-6.05222836625
Med Therapy & Auxiliary,52878.8803811,62267.8198201,17.7555564174
Medical & Dental,87500.9022346,102161.114773,16.7543558573
Museum & Cultural Affairs,45903.2262712,49890.7752308,8.68685990833
Nursing,70748.0009829,71877.0108594,1.59581876622
Park & Zoo,49668.2696875,35269.3060177,-28.9902663419
"Payroll, Billing & Accounting",56785.7083219,64785.2707642,14.0872812521
Personnel,53905.2270293,59130.3760536,9.69321402081
Police Services,135294.866888,135611.033507,0.233687076301
Port Operation,105943.7875,118621.844545,11.966777236
Probation & Parole,70904.3672193,82160.4367553,15.8750017489
Professional Engineering,90410.5198667,99101.513365,9.61281221607
Property Administration,71885.0371429,79964.3384211,11.2391974732
Protection & Apprehension,48957.4147941,52574.2334313,7.38768305564
Pub Relations & Spec Assts,59391.8790909,58911.9288158,-0.808107577107
Public Health,79371.0565,86684.8448485,9.21467934408
Public Safety Inspection,94222.7455469,102440.890787,8.72203966551
Public Service Aide,8482.23597753,9902.25744234,16.7411218996
Purchasing & Storekeeping,57323.7843407,63842.4093137,11.3715886836
Recreation,12205.7524311,11979.9573609,-1.84990701323
Revenue,50689.702973,54116.5472807,6.76043477618
SF Superior Court,69856.7740992,217132.04,210.824601909
Semi-Skilled & General Labor,47713.9792391,52398.59804,9.81812641824
Skilled Labor,73784.1693871,72335.5142857,-1.96336844802
Street Transit,70444.2895193,69587.263807,-1.21660068989
Sub-Professional Engineering,58303.5937058,35588.5822345,-38.9598822774
Supervisory-Labor & Trade,98774.1207568,107843.330933,9.18176755855
