JobTitle,TotalPay_x,TotalPay_y,inflation
account clerk,44035.6643373,37681.2332258,-14.4301924523
accountant intern,29031.7429167,21808.9045455,-24.8791069553
acupuncturist,67594.4,79495.0,17.6058963464
administrative analyst,63954.8675269,68110.0022308,6.49697961166
administrative engineer,127961.43,140187.692,9.55464627115
agricultural inspector,53586.1,66043.06,23.2466255242
airport economic planner,108264.821538,104829.223077,-3.17332852234
airport electrician,108707.828235,111303.883333,2.38810317544
airport electrician supervisor,117088.76,127682.52,9.04763189908
airport operations supervisor,94913.98,101083.513846,6.50013185218
airport safety officer,74599.26425,92302.6171429,23.7312701014
anesthetist,112265.2604,159994.254286,42.514481965
animal care attendant,43780.7235714,47670.11,8.88378745551
animal control officer,48181.2753846,50157.2763636,4.10118030967
animal health technician,13476.87,24982.045,85.3697854175
animal keeper,56375.8425,68606.1125,21.6941680295
apprentice gardener,24656.5381818,23181.5962963,-5.98195040458
apprentice stationary engineer,65108.2675,78991.2577778,21.3229299609
architect,99881.4466667,115015.43,15.1519464709
architectural administrator,102790.41,114859.653333,11.7416044292
arts program assistant,43178.1954545,46984.24,8.81473740481
asphalt finisher,63209.948,52198.06,-17.4211312435
asphalt worker,44347.2642308,51395.8610526,15.8940961616
assessment clerk,32197.8772222,56817.01,76.461974831
assessor,164425.0,179759.92,9.32639197202
assistant cook,24115.3033333,33089.695,37.21450874
assistant counselor,62113.285,80385.47,29.4175151097
assistant health educator,57719.41875,66558.70625,15.3142351247
assistant industrial hygienist,79904.0,86560.01,8.33000851021
assistant law librarian,107692.0,56096.87,-47.9099004569
assistant purchaser,50793.5621739,58706.6969565,15.579011284
assistant recreation director,29442.69,3918.93,-86.6896333182
assistant retirement analyst,63851.8746154,72706.682,13.8677328394
assistant sheriff,94837.545,195616.93,106.265282384
assistant storekeeper,56959.176,43550.1272,-23.5415076932
associate museum registrar,39705.64,40328.008,1.56745490061
attorney (civil/criminal),128056.73382,137626.673135,7.47320272011
"attorney, tax collector",87465.535,158743.55,81.4926873768
audiologist,100556.11,90362.54,-10.1371960391
audiometrist,10595.14,36474.0,244.252175998
automotive machinist,73443.9615152,76712.1938961,4.44996744937
automotive mechanic,90949.7676984,86044.5159477,-5.39336369386
automotive service worker,71612.2550909,69518.8935043,-2.92318903235
baker,65005.25,13036.34,-79.9457120771
barber,12410.38,3986.68,-67.87624553
beautician,31301.7266667,49230.945,57.2786879275
benefits analyst,61382.2214286,54615.0988235,-11.0245645197
benefits supervisor,74504.338,78168.754,4.91839280553
benefits technician,47034.4430435,47804.3012,1.6367965829
biologist iii,94550.2225,97543.9842857,3.16631913343
book repairer,49902.87,56387.2666667,12.9940355468
braillist,51674.51,19067.0,-63.1017304276
bricklayer,91372.018,99276.34,8.65070310694
building inspector,98919.1384615,100103.537167,1.19734029587
building plans engineer,140178.755,119730.01,-14.5876206419
cable splicer,75255.0058333,75569.4440909,0.417830354398
camp assistant,3997.51576271,3730.6837931,-6.67494477689
"captain, fire suppression",179758.842394,197412.396479,9.82068745513
car and auto painter,95780.4344444,99393.524375,3.77226304256
carpenter,76579.9967105,67489.8808642,-11.8700917169
cement mason,64227.6258824,69326.5256757,7.93879537547
chef,58925.28,58953.3716667,0.0476733698451
chemist i/ii,71792.0140909,36046.0,-49.7910729258
chemist iii,91993.1916667,107896.261667,17.2872249695
chief adult probation officer,94750.67,207654.94,119.159336815
chief building inspector,126614.916667,139126.7525,9.88180236794
chief clerk,68120.05,75772.6923077,11.2340526874
chief deputy sheriff,167958.413333,184545.666667,9.87580973417
chief dietitian,80485.0,94894.3,17.9030875318
